Date,Open,High,Low,Close,Adj Close,Volume
2026-05-14,743.6500244140625,749.530029296875,743.5599975585938,748.1699829101562,748.1699829101562,45307600
2026-05-15,741.7899780273438,743.4600219726562,737.9600219726562,739.1699829101562,739.1699829101562,60410800
2026-05-18,739.8300170898438,741.4199829101562,733.3900146484375,738.6500244140625,738.6500244140625,47843900
2026-05-19,734.780029296875,737.6500244140625,731.530029296875,733.72998046875,733.72998046875,54255900
2026-05-20,735.7100219726562,741.8699951171875,733.8900146484375,741.25,741.25,45768000
2026-05-21,738.6400146484375,744.8699951171875,737.030029296875,742.719970703125,742.719970703125,43332200
2026-05-22,746.239990234375,748.9400024414062,744.47998046875,745.6400146484375,745.6400146484375,41762000
2026-05-26,750.010009765625,752.1300048828125,748.3699951171875,750.5900268554688,750.5900268554688,41123600
2026-05-27,750.8800048828125,751.3800048828125,748.219970703125,750.4600219726562,750.4600219726562,42106300
2026-05-28,750.25,755.1500244140625,749.22998046875,754.5999755859375,754.5999755859375,41562600
2026-05-29,755.9000244140625,758.0800170898438,754.6900024414062,756.47998046875,756.47998046875,55075700
2026-06-01,755.3599853515625,760.280029296875,754.6900024414062,758.5399780273438,758.5399780273438,43634900
2026-06-02,757.030029296875,760.4000244140625,756.75,759.5700073242188,759.5700073242188,31581900
2026-06-03,758.1500244140625,758.7999877929688,753.5700073242188,754.239990234375,754.239990234375,51402500
2026-06-04,752.0999755859375,758.3099975585938,751.469970703125,757.0900268554688,757.0900268554688,49923000
2026-06-05,752.3099975585938,752.8200073242188,735.530029296875,737.5499877929688,737.5499877929688,93989400
2026-06-08,743.3599853515625,745.3400268554688,738.1900024414062,739.219970703125,739.219970703125,49319100
2026-06-09,743.63,746.9,722.59,737.05,737.05,86844734
